지역,상호,주소,기간,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
서울 강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,20250403,SK에너지,셀프,2027.0,1857.0,1697.0,0.0
서울 강남구,(주)만정에너지 삼보주유소,서울 강남구 봉은사로 433 (삼성동),20250403,GS칼텍스,일반,2860.0,2620.0,2580.0,1850.0
서울 강남구,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),20250403,SK에너지,셀프,1849.0,1678.0,1568.0,0.0
서울 강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),20250403,S-OIL,일반,1934.0,1728.0,1604.0,0.0
서울 강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,20250403,GS칼텍스,일반,2589.0,2389.0,2189.0,0.0
서울 강남구,(주)제이제이네트웍스 제이제이주유소,서울 강남구 언주로 716,20250403,HD현대오일뱅크,일반,2768.0,2548.0,2290.0,0.0
서울 강남구,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),20250403,SK에너지,셀프,1957.0,1738.0,1627.0,0.0
서울 강남구,HD현대오일뱅크㈜직영 강남셀프주유소,서울 강남구 도곡로 208,20250403,HD현대오일뱅크,셀프,1904.0,1684.0,1604.0,0.0
서울 강남구,HD현대오일뱅크㈜직영 도곡셀프주유소,서울 강남구  남부순환로 2718,20250403,HD현대오일뱅크,셀프,1874.0,1698.0,1604.0,0.0
서울 강남구,HD현대오일뱅크㈜직영 산성셀프주유소,서울 강남구 헌릉로 730,20250403,HD현대오일뱅크,셀프,1944.0,1712.0,1593.0,0.0
서울 강남구,HD현대오일뱅크㈜직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),20250403,HD현대오일뱅크,일반,2363.0,1963.0,1863.0,0.0
서울 강남구,HD현대오일뱅크㈜직영 유진주유소,서울 강남구 논현로 152 (도곡동),20250403,HD현대오일뱅크,일반,1909.0,1708.0,1614.0,1640.0
서울 강남구,SK논현주유소,서울 강남구 논현로 747 (논현동),20250403,SK에너지,일반,2670.0,2435.0,2270.0,1840.0
서울 강남구,SK서광주유소,서울 강남구 역삼로 142,20250403,SK에너지,셀프,1960.0,1765.0,1665.0,0.0
서울 강남구,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,20250403,HD현대오일뱅크,일반,2557.0,2258.0,2048.0,0.0
서울 강남구,극동유화㈜ 개나리주유소,서울 강남구 언주로 423 (역삼동),20250403,S-OIL,셀프,1985.0,1765.0,1625.0,0.0
서울 강남구,대교셀프주유소,서울 강남구 강남대로 640 (신사동),20250403,SK에너지,셀프,2050.0,1790.0,1720.0,0.0
서울 강남구,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),20250403,SK에너지,셀프,2057.0,1877.0,1737.0,0.0
서울 강남구,대청주유소,서울 강남구 개포로 654 (일원동),20250403,SK에너지,일반,2556.0,2256.0,2096.0,1869.0
서울 강남구,명품주유소,서울 강남구 도곡로 249 (역삼동),20250403,S-OIL,셀프,2347.0,2248.0,2107.0,0.0
서울 강남구,방죽주유소,서울 강남구 밤고개로 215 (율현동),20250403,GS칼텍스,셀프,0.0,1697.0,1589.0,0.0
서울 강남구,삼성동주유소,서울 강남구 테헤란로 619,20250403,HD현대오일뱅크,셀프,2015.0,1795.0,1695.0,0.0
서울 강남구,세진에너지(주) 개포주유소,서울 강남구 양재대로 339,20250403,GS칼텍스,셀프,2245.0,1868.0,1748.0,1700.0
