지역,이름,주소,브랜드,휘발유,경유,셀프,세차,편의점,24시간
강남구,(주)보성 세곡주유소,서울 강남구 헌릉로 731 (세곡동),SK에너지,"1,638","1,528",Y,Y,N,N
강남구,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),SK에너지,"1,679","1,579",Y,Y,N,Y
강남구,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,GS칼텍스,"1,679","1,659",N,Y,N,N
강남구,HD현대오일뱅크㈜직영 강남셀프주유소,서울 강남구 도곡로 208,HD현대오일뱅크,"1,684","1,604",Y,Y,N,N
강남구,HD현대오일뱅크㈜직영 도곡셀프주유소,서울 강남구 남부순환로 2718,HD현대오일뱅크,"1,684","1,589",Y,Y,N,N
강남구,HD현대오일뱅크㈜직영 유진주유소,서울 강남구 논현로 152 (도곡동),HD현대오일뱅크,"1,694","1,599",N,Y,N,N
강남구,방죽주유소,서울 강남구 밤고개로 215 (율현동),GS칼텍스,"1,697","1,589",Y,Y,N,N
강남구,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),SK에너지,"1,697","1,589",Y,Y,N,N
강남구,HD현대오일뱅크㈜직영 산성셀프주유소,서울 강남구 헌릉로 730,HD현대오일뱅크,"1,712","1,593",Y,Y,N,N
강남구,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),SK에너지,"1,718","1,587",Y,Y,N,N
강남구,일원주유소,서울 강남구 양재대로55길 3 (일원동),S-OIL,"1,718","1,587",Y,N,N,N
강남구,극동유화㈜ 개나리주유소,서울 강남구 언주로 423 (역삼동),S-OIL,"1,725","1,595",Y,Y,N,Y
강남구,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),S-OIL,"1,728","1,604",N,Y,N,N
강남구,SK서광주유소,서울 강남구 역삼로 142,SK에너지,"1,765","1,665",Y,Y,N,Y
강남구,삼성동주유소,서울 강남구 테헤란로 619,HD현대오일뱅크,"1,775","1,675",Y,Y,N,N
