지역,이름,주소,브랜드,휘발유,경유,셀프,세차,편의점,24시간
강남구,대교셀프주유소,서울 강남구 강남대로 640 (신사동),SK에너지,"1,790","1,720",Y,N,N,N
강남구,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),GS칼텍스,"1,847","1,822",Y,N,N,Y
강남구,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,SK에너지,"1,857","1,697",Y,Y,N,Y
강남구,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),SK에너지,"1,877","1,737",Y,Y,N,Y
강남구,세진에너지(주) 개포주유소,서울 강남구 양재대로 339,GS칼텍스,"1,898","1,778",Y,Y,N,N
강남구,HD현대오일뱅크㈜직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),HD현대오일뱅크,"1,913","1,843",N,Y,N,N
강남구,한양주유소,서울 강남구 압구정로 302 (신사동),HD현대오일뱅크,"1,995","1,795",N,Y,N,N
강남구,지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),GS칼텍스,"2,039","1,975",Y,Y,N,Y
강남구,명품주유소,서울 강남구 도곡로 249 (역삼동),S-OIL,"2,198","2,057",Y,Y,N,Y
강남구,대청주유소,서울 강남구 개포로 654 (일원동),SK에너지,"2,256","2,096",N,Y,N,N
강남구,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,HD현대오일뱅크,"2,258","2,048",N,Y,N,Y
강남구,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,GS칼텍스,"2,389","2,189",N,Y,N,N
강남구,SK논현주유소,서울 강남구 논현로 747 (논현동),SK에너지,"2,435","2,270",N,Y,N,Y
강남구,(주)제이제이네트웍스 제이제이주유소,서울 강남구 언주로 716,HD현대오일뱅크,"2,548","2,290",N,Y,N,Y
강남구,(주)만정에너지 삼보주유소,서울 강남구 봉은사로 433 (삼성동),GS칼텍스,"2,620","2,580",N,Y,N,N
강동구,구천면주유소,서울 강동구 구천면로 357 (암사동),HD현대오일뱅크,"1,643","1,537",N,N,N,N
강동구,재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구 천호대로 1246 (둔촌제2동),HD현대오일뱅크,"1,645","1,529",Y,Y,N,N
강동구,대성석유(주)길동주유소,서울 강동구 천호대로 1168,GS칼텍스,"1,696","1,578",N,Y,N,N
강동구,지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),GS칼텍스,"1,699","1,599",Y,Y,N,N
강동구,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),GS칼텍스,"1,726","1,598",Y,Y,Y,N
강동구,(주)소모 신월주유소,서울 강동구 양재대로 1323,GS칼텍스,"1,736","1,598",Y,Y,N,N
강동구,sk해뜨는주유소,서울 강동구 상일로 132 (강일동),SK에너지,"1,789","1,639",Y,Y,N,N
강동구,(주)퍼스트오일 코알라주유소,서울특별시 강동구 올림픽로 556 (성내동),S-OIL,"1,790","1,670",Y,Y,N,N
강동구,주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),SK에너지,"1,793","1,673",N,Y,N,N
강동구,(주)소모 성내주유소,서울 강동구 올림픽로 578 (성내동),GS칼텍스,"1,798","1,678",Y,Y,N,N
강동구,천호현대주유소,서울 강동구 천중로 67 (천호동),HD현대오일뱅크,"1,893","1,752",N,Y,N,N
강동구,광성주유소,서울 강동구 올림픽로 673 (천호동),S-OIL,"1,968","1,858",N,Y,N,Y
강북구,(주)자연에너지 번동주유소,서울 강북구 한천로 963 (번동),HD현대오일뱅크,"1,589","1,459",Y,Y,N,N
강북구,수유동주유소,서울 강북구 도봉로 395 (수유동),GS칼텍스,"1,589","1,459",Y,N,N,Y
강북구,(주)석산에너지,서울 강북구 삼양로 316 (수유동),HD현대오일뱅크,"1,589","1,459",Y,N,N,N
강북구,(주)서울에너지 시민주유소,서울 강북구 인수봉로 185 (수유동),HD현대오일뱅크,"1,589","1,459",Y,N,N,N
강북구,덕릉로주유소,서울 강북구 덕릉로 158 (번동),S-OIL,"1,589","1,459",Y,Y,N,N
강북구,㈜지에스이앤알 미아주유소,서울 강북구 도봉로 122 (미아동),GS칼텍스,"1,629","1,479",Y,Y,N,N
강북구,씨앤에스유통㈜ 미아셀프주유소,서울 강북구 도봉로 200 (미아동),S-OIL,"1,635","1,495",Y,Y,N,N
강북구,대성석유(주)신광주유소,서울 강북구 삼양로 484,GS칼텍스,"1,649","1,499",N,Y,N,N
강북구,SK에너지(주) 매일주유소,서울 강북구 삼양로 217 (미아동),SK에너지,"1,670","1,534",Y,Y,Y,N
강북구,북서울고속주유소,서울 강북구 삼양로 410 (수유동),SK에너지,"1,715","1,575",Y,N,N,N
강서구,이케이에너지(주) 강서주유소,서울 강서구 화곡로 273 (화곡동),HD현대오일뱅크,"1,566","1,434",Y,Y,N,N
강서구,화곡역주유소,서울 강서구 강서로 154 (화곡동),알뜰주유소,"1,566","1,434",Y,N,N,Y
강서구,강서오곡셀프주유소,서울 강서구 벌말로 254 (오곡동),SK에너지,"1,567","1,467",Y,Y,N,Y
강서구,KH에너지㈜직영 KH외발산주유소,서울 강서구 방화대로 30,SK에너지,"1,587","1,459",Y,Y,Y,N
강서구,피트인 하이웨이,서울 강서구 공항대로 432,S-OIL,"1,596","1,497",Y,Y,N,Y
강서구,유턴주유소,서울 강서구 남부순환로 57,알뜰주유소,"1,598","1,475",Y,N,N,N
강서구,뉴신정주유소,서울 강서구 곰달래로 207,알뜰주유소,"1,598","1,498",N,N,Y,N
강서구,목화주유소,서울 강서구 국회대로 251 (화곡동),알뜰주유소,"1,598","1,498",Y,Y,N,N
강서구,지에스칼텍스㈜ 경인고속주유소,서울 강서구 국회대로 225 (화곡동),GS칼텍스,"1,598","1,498",Y,Y,N,Y
강서구,㈜한경에너지 신화곡주유소,서울 강서구 국회대로 71,SK에너지,"1,598","1,498",Y,Y,Y,Y
강서구,(주)타이거오일 방화주유소,서울 강서구 방화동로 58-2,SK에너지,"1,604","1,483",Y,N,N,N
강서구,스카이주유소,서울 강서구 개화동로 457 (방화동),S-OIL,"1,605","1,466",Y,Y,Y,Y
강서구,행촌에너지 공항주유소,서울 강서구 개화동로 420 (개화동),HD현대오일뱅크,"1,605","1,466",Y,Y,Y,Y
강서구,강서열린주유소,서울 강서구 등촌로 213 (등촌동),GS칼텍스,"1,609","1,489",N,Y,N,N
강서구,㈜오일마스터강서지점 등촌주유소,서울 강서구 등촌로 189,HD현대오일뱅크,"1,609","1,479",N,Y,N,N
강서구,씨앤에스유통(주) 마곡드림주유소,서울 강서구 방화대로 254(마곡동),S-OIL,"1,615","1,495",Y,Y,N,N
강서구,KH에너지㈜직영 가양주유소,서울 강서구 강서로 498 (가양동),SK에너지,"1,644","1,493",N,Y,Y,Y
강서구,오션네트웍스(주) 서울식물원지점,서울 강서구 양천로 300,SK에너지,"1,649","1,498",Y,N,N,N
강서구,대성석유(주)방화대성주유소,서울 강서구 양천로 176,GS칼텍스,"1,649","1,518",Y,Y,Y,N
강서구,대성석유(주) 마곡대성주유소,서울 강서구 강서로 457,GS칼텍스,"1,649","1,498",Y,N,N,N
강서구,세원제1주유소,서울 강서구 양천로 311 (가양동),SK에너지,"1,658","1,548",Y,Y,N,N
강서구,HD현대오일뱅크㈜직영 양화교셀프주유소,서울 강서구 공항대로 653,HD현대오일뱅크,"1,664","1,574",Y,Y,N,N
강서구,화곡현대주유소,서울 강서구 강서로 151 (화곡동),SK에너지,"1,666","1,546",Y,Y,N,Y
강서구,우장산주유소,서울 강서구 강서로 292,SK에너지,"1,668","1,518",Y,Y,N,N
강서구,대성주유소,서울 강서구 강서로 472,GS칼텍스,"1,669","1,518",N,Y,N,N
강서구,대성석유(주) 관문주유소,서울 강서구 공항대로 314,GS칼텍스,"1,669","1,518",N,Y,N,N
강서구,개화주유소,서울 강서구 양천로 57,SK에너지,"1,677","1,537",Y,Y,N,N
강서구,HD현대오일뱅크㈜직영 가양주유소,서울 강서구 양천로 391 (가양동),HD현대오일뱅크,"1,679","1,569",N,Y,N,N
강서구,박물관주유소,서울 강서구 양천로53길 97 (가양동),GS칼텍스,"1,698","1,558",N,Y,Y,N
강서구,(주)한진 김포공항제2주유소,서울 강서구 하늘길 112,S-OIL,"1,724","1,602",Y,N,N,N
강서구,코리나(주)청룡주유소,서울 강서구 양천로 576,SK에너지,"1,768","1,648",N,Y,N,N
강서구,참솔에너지,서울 강서구 벌말로 281 (오곡동),S-OIL,"1,857","1,698",Y,Y,N,N
강서구,염창동주유소,서울 강서구 양천로 720,SK에너지,"2,030","1,858",N,Y,N,N
관악구,㈜CW창원,서울 관악구 과천대로 921 (남현동),HD현대오일뱅크,"1,588","1,482",Y,Y,N,N
관악구,(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동),알뜰주유소,"1,644","1,494",Y,Y,N,N
관악구,진우7주유소 ㈜준우에너지,서울 관악구 보라매로 41,HD현대오일뱅크,"1,644","1,494",Y,N,N,N
관악구,서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),GS칼텍스,"1,655","1,525",Y,Y,N,Y
관악구,(주)한유에너지 행운주유소,서울 관악구 남부순환로 1883 (봉천동),SK에너지,"1,664","1,544",Y,Y,N,N
관악구,대양석유(주)직영 보라매주유소,서울 관악구 보라매로 26 (봉천동),SK에너지,"1,674","1,541",Y,Y,N,N
관악구,유림주유소,서울 관악구 신림로 176 (신림동),S-OIL,"1,698","1,568",N,Y,N,Y
관악구,현대주유소,서울 관악구 난곡로 108 (신림동),HD현대오일뱅크,"1,699","1,588",N,N,N,N
관악구,HD현대오일뱅크㈜직영 관악셀프주유소,서울 관악구 남부순환로 1520 (신림동),HD현대오일뱅크,"1,699","1,588",Y,N,N,N
관악구,SK에너지(주)직영 신봉천주유소,서울 관악구 남부순환로 1880 (봉천동),SK에너지,"1,732","1,620",N,Y,Y,N
관악구,HD현대오일뱅크㈜직영 문성골주유소,서울 관악구 문성로 97,HD현대오일뱅크,"1,779","1,649",N,Y,N,N
관악구,관악시몬주유소,서울특별시 관악구 남부순환로 1753 (봉천동),S-OIL,"1,795","1,645",N,Y,N,N
관악구,CJ대한통운㈜ 신림주유소,서울 관악구 남부순환로 1515 (신림동),GS칼텍스,"1,898","1,738",N,Y,N,N
관악구,지에스칼텍스㈜ 난곡주유소,서울 관악구 난곡로 206,GS칼텍스,"1,989","1,799",N,N,N,N
광진구,㈜동화오일 대원주유소,서울 광진구 용마산로 122 (중곡동),GS칼텍스,"1,589","1,455",Y,Y,N,N
광진구,(주)자연에너지 중원주유소,서울 광진구 동일로 398 (중곡동),HD현대오일뱅크,"1,589","1,459",Y,Y,N,N
광진구,(주)창원CW,서울 광진구 광나루로 460 (화양동),HD현대오일뱅크,"1,589","1,459",Y,Y,N,N
광진구,서울중앙고속주유소,서울 광진구 동일로 345 (중곡동),SK에너지,"1,619","1,479",Y,N,N,N
광진구,용마주유소,서울 광진구 용마산로 68 (중곡동),GS칼텍스,"1,624","1,488",N,N,N,N
광진구,삼호주유소,서울 광진구 천호대로 809 (광장동),S-OIL,"1,625","1,489",Y,Y,N,Y
광진구,HD현대오일뱅크㈜직영 능동주유소,서울 광진구 천호대로 584 (능동),HD현대오일뱅크,"1,625","1,489",Y,Y,N,Y
광진구,(주)장수주유소,서울 광진구 동일로 266 (군자동),SK에너지,"1,625","1,498",Y,N,N,Y
광진구,정해네트웍스(주)일진주유소,서울 광진구 동일로 413 (중곡동),S-OIL,"1,627","1,487",Y,Y,N,Y
광진구,HD현대오일뱅크㈜직영 장호셀프주유소,서울 광진구 자양로 37,HD현대오일뱅크,"1,635","1,499",Y,Y,N,N
광진구,HD현대오일뱅크㈜직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),HD현대오일뱅크,"1,655","1,519",Y,Y,N,N
광진구,유니스에너지 자양주유소,서울 광진구 아차산로 298 (자양동),SK에너지,"1,728","1,608",N,Y,N,N
광진구,강평주유소,서울 광진구 아차산로 616,SK에너지,"1,898","1,768",N,Y,N,N
구로구,(주)서울에너지 궁동주유소,서울 구로구 오리로 1299 (궁동),HD현대오일뱅크,"1,579","1,469",Y,N,N,N
구로구,㈜자연에너지 고척주유소,서울 구로구 고척로 199 (고척동),HD현대오일뱅크,"1,579","1,479",Y,Y,N,N
구로구,영진주유소,서울 구로구 구로동로 20 (가리봉동),HD현대오일뱅크,"1,579","1,479",Y,N,N,N
구로구,극동유화(주) 항동주유소,서울 구로구 서해안로 2154 (항동),S-OIL,"1,585","1,445",Y,Y,N,N
구로구,지에스칼텍스㈜ 개봉동주유소,서울 구로구 경인로 290,GS칼텍스,"1,589","1,479",Y,Y,N,Y
구로구,씨앤에스유통(주) 구로드림주유소,서울 구로구 경인로 41 (온수동),S-OIL,"1,595","1,485",Y,Y,N,N
구로구,신성주유소,서울 구로구 구로동로 187 (구로제2동),알뜰주유소,"1,597","1,467",Y,Y,N,N
구로구,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),GS칼텍스,"1,599","1,469",Y,Y,N,N
구로구,개봉주유소,서울 구로구 고척로 115 (개봉동),HD현대오일뱅크,"1,599","1,485",Y,Y,N,N
구로구,대성산업(주)디큐브주유소,서울 구로구 경인로 650,GS칼텍스,"1,625","1,475",N,N,N,Y
구로구,SK구로주유소,서울 구로구 구일로 94 (구로동),SK에너지,"1,665","1,535",N,Y,N,N
구로구,구인주유소,서울 구로구 경인로 558 (구로동),SK에너지,"1,665","1,535",N,Y,Y,N
구로구,HD현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,HD현대오일뱅크,"1,679","1,577",Y,Y,N,Y
구로구,서서울고속주유소,서울 구로구 경인로 150 (오류동),SK에너지,"1,695","1,555",Y,Y,N,N
구로구,대원셀프주유소,서울 구로구 개봉로 7,HD현대오일뱅크,"1,698","1,578",Y,Y,N,N
구로구,(주)제이제이네트웍스 신구로주유소,서울 구로구 가마산로 293 (구로동),HD현대오일뱅크,"1,948","1,748",N,Y,N,N
구로구,동아주유소,서울 구로구 도림로 91 (구로동),S-OIL,"1,998","1,798",N,N,Y,N
구로구,구로주유소,서울 구로구 구로동로 137 (구로동),GS칼텍스,"2,290","2,140",N,N,N,N
금천구,(주)화동유업 화동주유소,서울 금천구 시흥대로 484,SK에너지,"1,588","1,487",Y,Y,N,N
금천구,(주)백운주유소,서울 금천구 시흥대로 282,알뜰주유소,"1,589","1,478",Y,N,N,N
금천구,㈜씨더블유 이엔지 금천지점,서울 금천구 독산로 147,HD현대오일뱅크,"1,589","1,478",Y,Y,N,N
금천구,㈜씨더블유이엔지,서울 금천구 남부순환로 1410 (독산동),HD현대오일뱅크,"1,589","1,478",Y,Y,N,N
금천구,구광주유소,서울 금천구 서부샛길 674 (가산동),S-OIL,"1,595","1,485",N,Y,N,N
금천구,대득에너지(금천셀프주유소),서울 금천구 시흥대로 81 (시흥동),GS칼텍스,"1,655","1,525",Y,Y,Y,Y
금천구,HD현대오일뱅크㈜직영 남서울셀프주유소,서울 금천구 독산로 257 (독산동),HD현대오일뱅크,"1,658","1,565",Y,N,N,N
금천구,백산주유소,서울특별시 금천구 시흥대로 174 (시흥동),S-OIL,"1,695","1,565",Y,Y,N,N
금천구,지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,GS칼텍스,"1,695","1,585",Y,Y,N,N
금천구,SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),SK에너지,"1,729","1,592",Y,Y,N,N
금천구,SK에너지(주) 이가주유소,서울 금천구 시흥대로 441,SK에너지,"1,735","1,602",N,Y,N,N
노원구,월계주유소,서울 노원구 월계로 252,GS칼텍스,"1,609","1,479",Y,Y,N,N
노원구,구도일주유소 불암,서울 노원구 한글비석로 268 (중계동),S-OIL,"1,611","1,498",Y,Y,N,N
노원구,(주)정건에너지직영,서울 노원구 노원로17길 29 (하계동),HD현대오일뱅크,"1,635","1,495",Y,Y,N,N
노원구,이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),GS칼텍스,"1,635","1,495",Y,Y,N,N
노원구,화랑대주유소,서울 노원구 화랑로 483,HD현대오일뱅크,"1,635","1,495",Y,Y,N,Y
노원구,한신주유소,서울 노원구 동일로 1089 (공릉동),SK에너지,"1,645","1,555",Y,Y,N,N
노원구,태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),S-OIL,"1,645","1,515",Y,Y,N,Y
노원구,SK에너지㈜직영 상계주유소,서울 노원구 노해로 527 (상계동),SK에너지,"1,659","1,529",N,Y,N,N
노원구,삼육주유소,서울 노원구 화랑로 822 (공릉동),SK에너지,"1,695","1,565",Y,Y,N,N
노원구,(주)소모 수락산셀프주유소,서울 노원구 동일로 1772,GS칼텍스,"1,698","1,598",Y,N,N,N
노원구,성북역주유소,서울특별시 노원구 광운로 95 (월계1동),GS칼텍스,"1,698","1,598",N,Y,N,N
노원구,신성주유소,서울 노원구 월계로 328 (월계동),S-OIL,"1,728","1,598",Y,Y,N,Y
노원구,상계동주유소,서울 노원구 노원로26길 191 (상계동),HD현대오일뱅크,"1,750","1,630",N,N,N,N
노원구,하계삼호주유소,서울 노원구 공릉로 294 (하계동),GS칼텍스,"1,875","1,695",N,N,N,N
도봉구,이케이에너지 주식회사,서울 도봉구 도봉로 941 (도봉동),HD현대오일뱅크,"1,559","1,439",Y,Y,N,N
도봉구,도봉제일주유소(주)송만에너지,서울 도봉구 도봉로 783 (도봉동),HD현대오일뱅크,"1,559","1,449",N,N,N,N
도봉구,(주)자연에너지 햇살주유소,서울 도봉구 방학로 142 (방학동),HD현대오일뱅크,"1,559","1,439",Y,Y,N,N
도봉구,요한주유소,서울 도봉구 마들로 776,HD현대오일뱅크,"1,559","1,439",Y,Y,N,N
도봉구,지에스칼텍스㈜ 방학동주유소,서울 도봉구 방학로 186,GS칼텍스,"1,569","1,449",Y,Y,N,N
도봉구,(주)헨지스에너지 구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),S-OIL,"1,585","1,455",Y,Y,N,N
도봉구,극동유화(주) 대안주유소,서울 도봉구 마들로 574 (창동),S-OIL,"1,585","1,445",Y,Y,N,N
도봉구,삼미북부셀프주유소,서울 도봉구 도봉로 437 (쌍문동),SK에너지,"1,589","1,459",Y,Y,N,Y
도봉구,한이에너지(주) 쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),S-OIL,"1,589","1,459",Y,Y,N,Y
도봉구,쌍문으뜸주유소,서울 도봉구 노해로 161 (쌍문동),HD현대오일뱅크,"1,589","1,459",Y,Y,N,N
도봉구,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),S-OIL,"1,615","1,475",Y,N,N,N
도봉구,대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),GS칼텍스,"1,635","1,485",Y,Y,N,Y
도봉구,오복주유소,서울 도봉구 방학로 43,S-OIL,"1,765","1,595",Y,Y,N,N
도봉구,HD현대오일뱅크㈜직영 영신주유소,서울 도봉구 방학로 151,HD현대오일뱅크,"1,777","1,647",N,Y,N,N
동대문구,(주)자연에너지 국민주유소,서울 동대문구 답십리로 223 (답십리동),HD현대오일뱅크,"1,589","1,459",Y,N,N,N
동대문구,풍한주유소,서울 동대문구 안암로 168,SK에너지,"1,595","1,465",N,Y,N,Y
동대문구,재정주유소,서울 동대문구 전농로 121,HD현대오일뱅크,"1,599","1,465",Y,Y,N,N
동대문구,재정제2주유소,서울 동대문구 사가정로 90 (전농동),HD현대오일뱅크,"1,599","1,465",Y,Y,N,N
동대문구,(주)정건에너지 배봉로지점,서울 동대문구 서울시립대로 108,HD현대오일뱅크,"1,599","1,465",Y,Y,N,N
동대문구,대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),GS칼텍스,"1,645","1,495",Y,Y,N,Y
동대문구,삼미상사(주)장안킹셀프주유소,서울 동대문구 한천로 100 (장안동),SK에너지,"1,655","1,555",Y,Y,N,N
동대문구,HD현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),HD현대오일뱅크,"1,689","1,569",N,Y,N,Y
동대문구,홍능주유소,서울 동대문구 홍릉로 87,S-OIL,"1,695","1,575",N,Y,N,N
동대문구,삼영주유소,서울 동대문구 답십리로 258 (장안동),SK에너지,"1,695","1,575",N,Y,N,N
동대문구,한영주유소 (한화),서울 동대문구 망우로 38 (휘경동),HD현대오일뱅크,"1,697","1,599",N,N,N,N
동대문구,(주)안국에너지 삼원셀프주유소,서울 동대문구 망우로 90 (휘경동),SK에너지,"1,698","1,588",Y,Y,N,N
동대문구,동서울고속주유소,서울 동대문구 한천로 414,SK에너지,"1,725","1,585",Y,N,N,N
동대문구,열린주유소,서울 동대문구 한천로 263 (휘경동),S-OIL,"1,729","1,579",N,N,N,N
동대문구,오동나무주유소,서울 동대문구 한천로 81,S-OIL,"1,738","1,598",N,N,N,N
동작구,주식회사 새서울글로벌,서울 동작구 시흥대로 616 (신대방동),HD현대오일뱅크,"1,599","1,488",Y,Y,N,Y
동작구,창원이엔지주유소,서울 동작구 사당로 59 (상도동),HD현대오일뱅크,"1,619","1,509",Y,Y,N,N
동작구,지에스칼텍스(주) 대방주유소,서울 동작구 여의대방로 214,GS칼텍스,"1,629","1,509",N,N,N,N
동작구,HD현대오일뱅크㈜직영 사당셀프주유소,서울 동작구 동작대로 73 (사당동),HD현대오일뱅크,"1,669","1,569",Y,Y,N,Y
동작구,지에스칼텍스㈜직영 남성주유소,서울 동작구 동작대로 135,GS칼텍스,"1,675","1,569",Y,N,N,Y
동작구,매일주유소,서울 동작구 상도로 139 (상도동),S-OIL,"1,699","1,599",Y,Y,N,N
동작구,HD현대오일뱅크㈜직영 동작주유소,서울 동작구 상도로 403 (상도동),HD현대오일뱅크,"1,709","1,599",N,Y,N,N
동작구,HD현대오일뱅크㈜직영 흑석동셀프주유소,서울 동작구 현충로 101 (흑석동),HD현대오일뱅크,"1,744","1,649",Y,Y,N,Y
동작구,살피재주유소,서울 동작구 상도로 334,SK에너지,"1,865","1,735",N,N,N,N
마포구,(주)타이거통상 월드컵주유소,서울 마포구 월드컵북로 170 (성산제2동),S-OIL,"1,619","1,519",Y,N,N,N
마포구,성산대교셀프주유소,서울 마포구 성산로 144,HD현대오일뱅크,"1,629","1,549",Y,Y,N,N
마포구,청원주유소,서울 마포구 월드컵북로 113 (성산동),HD현대오일뱅크,"1,629","1,549",Y,Y,N,N
마포구,마포시엠주유소,서울 마포구 월드컵북로 62,SK에너지,"1,629","1,499",N,N,N,N
마포구,(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),SK에너지,"1,738","1,628",N,Y,N,N
마포구,에쓰오일(주) 염리동주유소,서울 마포구 백범로 126 (염리동),S-OIL,"1,749","1,639",Y,Y,N,N
마포구,마포주유소,서울 마포구 마포대로 186,S-OIL,"1,749","1,639",Y,Y,N,N
마포구,용강주유소,서울 마포구 토정로 258,S-OIL,"1,759","1,649",N,N,N,N
마포구,(주)만성상사 대흥주유소,서울 마포구 대흥로 61 (대흥동),SK에너지,"1,769","1,659",N,Y,N,Y
마포구,에스에스오토셀프,서울 마포구 서강로 76 (창전동),HD현대오일뱅크,"1,769","1,659",Y,Y,N,Y
마포구,SK에너지 양지주유소,서울 마포구 마포대로 69 (도화동),SK에너지,"1,825","1,725",N,N,Y,Y
마포구,SK에너지(주) 안국주유소,서울 마포구 양화로 33,SK에너지,"1,829","1,729",N,N,N,Y
서대문구,(주)창원이엔지 홍제지점,서울 서대문구 통일로 455 (홍제동),HD현대오일뱅크,"1,614","1,489",N,N,N,N
서대문구,지에스칼텍스(주)홍제동주유소,서울 서대문구 통일로 372,GS칼텍스,"1,614","1,495",Y,Y,N,N
서대문구,(주)미래아스팔트 신우주유소,서울 서대문구 가좌로 106(홍은동),S-OIL,"1,619","1,498",Y,Y,N,N
서대문구,(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,HD현대오일뱅크,"1,619","1,498",Y,N,Y,N
서대문구,HD현대오일뱅크㈜직영 연세주유소,서울 서대문구 연희로 184,HD현대오일뱅크,"1,624","1,569",Y,Y,N,N
서대문구,㈜한화미 구도일주유소 두꺼비,서울 서대문구 성산로 312,S-OIL,"1,629","1,539",Y,Y,N,N
서대문구,남정주유소,서울 서대문구 모래내로 243 (남가좌동),GS칼텍스,"1,638","1,528",N,N,N,N
서대문구,중앙에너비스 동교지점,서울 서대문구 연희로 12 (창천동),SK에너지,"1,658","1,558",Y,N,Y,N
서대문구,(주)안국에너지 삼보셀프주유소,서울 서대문구 연희로 78 (연희동),SK에너지,"1,678","1,569",Y,Y,N,N
서대문구,행촌제2주유소,서울 서대문구 성산로 490 (대신동),SK에너지,"1,678","1,569",Y,Y,Y,Y
서대문구,㈜우남에너지 문화사랑주유소,서울 서대문구 세검정로 87,S-OIL,"1,689","1,599",Y,Y,N,N
서대문구,광호주유소,서울 서대문구 연희로 266 (홍은동),SK에너지,"1,695","1,595",N,Y,N,N
서대문구,연희주유소,서울 서대문구 연희로 129 (연희동 89-7번지),SK에너지,"1,695","1,595",N,Y,Y,N
서초구,만남의광장주유소,서울 서초구 양재대로12길 73-71,알뜰(ex),"1,619","1,479",Y,N,Y,Y
서초구,(주)대농석유 남태령주유소,서울 서초구 과천대로 838 (방배동),SK에너지,"1,635","1,515",Y,Y,N,N
서초구,(주)한미석유 서초주유소,서울 서초구 반포대로 64 (서초동),GS칼텍스,"1,645","1,515",Y,N,N,N
서초구,서초꽃마을주유소,서울 서초구 반포대로 69 (서초동),GS칼텍스,"1,655","1,525",Y,N,N,N
서초구,씨앤에스유통㈜ 내곡드림주유소,서울 서초구 헌릉로 177 (내곡동),S-OIL,"1,655","1,525",Y,Y,N,N
